Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Pkg Code
N/A	N/A	DO NOT PLACE	DO NOT PLACE	*	*
N/A	N/A	TO BE DETERMINED	TO BE DETERMINED	*	*
ANY	ANY	ANY	ANY	ANY PART MATCHING	*
08053C104JAZ2A	AVX	TO BE DETERMINED	TO BE DETERMINED	*	0805
GCM2195C1H103JA16D	MuRata	TO BE DETERMINED	TO BE DETERMINED	*	0805
GRM219R61A106KE44D	MuRata	TO BE DETERMINED	TO BE DETERMINED	*	0805
CC0805KRX7R8BB104	Yageo America	TO BE DETERMINED	TO BE DETERMINED	*	0805
GRM32ER61C226ME20L	MuRata	TO BE DETERMINED	TO BE DETERMINED	*	1210
GRM033R60J223KE01D	MuRata	TO BE DETERMINED	TO BE DETERMINED	*	0201
MBRD835LT4G	ON Semiconductor	TO BE DETERMINED	TO BE DETERMINED	*	DPAK
XAL5030-332MEB	Coilcraft	TO BE DETERMINED	TO BE DETERMINED	FIXED IND 33UH 5.9A 21MOHM	XAL5030
RR1220P-103-D	Susumu Co Ltd	TO BE DETERMINED	TO BE DETERMINED	RES SMD 10K OHM 0.5% 1/10W 0805	0805
CRCW0603953RFKEA	Vishay-Dale	TO BE DETERMINED	TO BE DETERMINED	RES SMD 953 OHM 1% 1/10W 0603	0603
CRCW060386K6FKEA	Vishay-Dale	TO BE DETERMINED	TO BE DETERMINED	RES SMD 86.6K OHM 1% 1/10W 0603	0603
CRCW060360K4FKEA	Vishay-Dale	TO BE DETERMINED	TO BE DETERMINED	RES SMD 60.4K OHM 1% 1/10W 0603	0603
TPS55340RTER	Texas Instruments	TO BE DETERMINED	TO BE DETERMINED	IC REG MULT CONFG ISO ADJ 16WQFN	S-PWQFN-N16
EMK107B7105KA-T	Taiyo Yuden	TO BE DETERMINED	TO BE DETERMINED	CAP CER 1UF 16V X7R 0603	0603
GRM21BR60J106ME19L	MuRata	TO BE DETERMINED	TO BE DETERMINED	CAP CER 10UF 6.3V X5R 0805	0805
C0805C106K8PACTU	Kemet	TO BE DETERMINED	TO BE DETERMINED	CAP CER 10UF 10V X5R 0805	0805
LQM2HPN4R7MGCL	MuRata	TO BE DETERMINED	TO BE DETERMINED	FIXED IND 4.7UH 800MA 180MOHM	1008
TPS61222DCKR	Texas Instruments	TO BE DETERMINED	TO BE DETERMINED	IC REG BOOST 5V 0.2A SYNC SC70-6	SC70-6
GRM188R60J475KE19D	MuRata	TO BE DETERMINED	TO BE DETERMINED	CAP CER 4.7UF 6.3V X5R 0603	0603
06035A470KAT2A	ATK	TO BE DETERMINED	TO BE DETERMINED	CAP CER 47PF 50V C0G/NP0 0603	0603
CRCW06031M50FKEA	Vishay-Dale	TO BE DETERMINED	TO BE DETERMINED	RES SMD 1.5M OHM 1% 1/10W 0603	0603
CRCW0603158KFKEA	Vishay-Dale	TO BE DETERMINED	TO BE DETERMINED	RES SMD 158K OHM 1% 1/10W 0603	0603
GMK212B7105KG	Taiyo Yuden	TO BE DETERMINED	TO BE DETERMINED	CAP CER 1UF 35V X7R 0805	0805
TPS61041DBVR	Texas Instruments	TO BE DETERMINED	TO BE DETERMINED	IC LED DRIVER RGLTR DIM SOT23-5	SOT23-5
LPS4018-183MRB	Coilcraft	TO BE DETERMINED	TO BE DETERMINED	FIXED IND 18UH 700MA 270MOHM	LPS4018
